example_id,customer_text,expected_intent,notes
60,@AppleSupport love how #iOS11 has ruined my iPhone7. https://t.co/sePLfUPujF,app_software_issue,
61,I️ is the worst thing @115858 has ever done to me https://t.co/VgAUobeBND,app_software_issue,
62,@115858 there’s an issue with the accessibility zoom in IOS 11.0.2.,app_software_issue,
63,@AppleSupport having so many issues with my iPhone X already 😭,device_hardware,
64,@AppleSupport GET THIS THING TO FIX MY I️’s BEFORE I️ RAISE HELL,app_software_issue,
65,@AppleSupport I restarted it and my whole library was there...thank you!!,subscription_service,
66,@AppleSupport can you fix your fucking code because this I️ shit is getting annoying,app_software_issue,
67,@AppleSupport Thank you. Do I turn be notifications back on after?,app_software_issue,
68,@AppleSupport I did do all that. I don’t get anything from a vibration standpoint.,device_hardware,
69,@AppleSupport iphone6plus App Store stuck trying to download @188,app_software_issue,
70,@AppleSupport I fixed it don't worry I basically should be an apple genius,general_support,
71,all my messages are clumped at the very bottom 😫 @AppleSupport fix thissss,app_software_issue,
72,@AppleSupport i received this email today!! is it fake?!! https://t.co/Z8ciP5kOxU,general_support,
73,@AppleSupport why isn’t there any sound while your screen recording on FaceTime fix that 😑,app_software_issue,
74,@AppleSupport Under phone it says audio at 14% all rest are under 10%,general_support,
75,@AppleSupport it is a regular message because it is going to a Samsung user,general_support,
76,iPhone now doesn’t wake up when clicking on the button @AppleSupport,device_hardware,
77,this update has me messed up @115858 why is my “I️” turned into A with a box🙄,app_software_issue,
78,So can yall like fix this glitch with the letter I @AppleSupport,app_software_issue,
79,Somebody help me delete this question mark box @115858 put on here 😩,app_software_issue,
80,Dear @AppleSupport your iOS update 11.2 broke my visual voicemail. https://t.co/JTJt5dGYKf,app_software_issue,
81,@115858 since update to iOS 11 my iPhone 6s won't #charge #battery properly. Will this be fixed in future updates.,device_hardware,
82,Dear @AppleSupport the new iOS thinks I’m driving when I’m riding the NYC subway. How do I make it stop that?,app_software_issue,
83,@AppleSupport Yeah. I did that. Will that download all previously uploaded photos and videos to my device now?,app_software_issue,
84,"Hey @115858 &amp; @AppleSupport, why is my phone changing my capital I️’s into question marks???",app_software_issue,
85,"Bought a new macbook pro just 2 mounts ago and the ""n"" key isn't working properly. @115858 I'm coming.. @AppleSupport",device_hardware,
86,fix your broken ass keybord @AppleSupport !!!!!!!!! i’m sick of my i’s turning into some weird shit,app_software_issue,
87,@115858 your new update for the iPhone is killing my battery- 66% and I’ve hardly used it this morning,device_hardware,
88,@AppleSupport I’m also unable to see who an incoming caller is because the font color on the name doesn’t invert.,app_software_issue,
89,@115858 any idea how much a screen replacement for an Apple Watch series 2 (38mm) is? As your custoner service don't...,device_hardware,
90,"@AppleSupport Facing LOTS of frequent crashes in new Safari 11 (El Capitan, MBP Late 2011). Plz fix it asap.",app_software_issue,
91,@AppleSupport my brother unlocked my iPhone with Face ID and we are not even twins... #fail #iphonex #hacked,device_hardware,
92,"@AppleSupport i need help deleting photos off of my iPhone, but not losing the photos in my iCloud.",subscription_service,
93,I just can’t anymore. @AppleSupport my Apple Music is crashing. £15 down the drain becoz I can’t use it. Help!,app_software_issue,
94,My iphone has been off the charger for 2 hours and is at 79%. God damnit @115858 do something right for a change,device_hardware,
95,@AppleSupport can’t updatepayment method with credit card after latest iOS update. Can’t update apps. What gives?,billing_payment,
96,There’s a glitch with this new update. How come I️ can’t put the letter “I️” without it making a box 🧐 @115858,app_software_issue,
97,"@AppleSupport Thanks! Yes- specifically iCal, and usually not doing anything other than viewing my days meetings/items.",app_software_issue,
98,"I’ve installed the Apple update and now IG photos won’t work from my files to upload, help?! 😭 @126 @AppleSupport",app_software_issue,
99,"@AppleSupport Wait it’s not any apps, it reset itself earlier when I wasn’t even touching it..",device_hardware,
100,@AppleSupport come on get it together with this new update and fix this battery draining issue! #ios1102,device_hardware,
101,"@AppleSupport Unfortunately it still does it and now it even starts to ring a bit, even when on silent :)",device_hardware,
102,"@AppleSupport My battery drains much faster than before the update. Plus, how do I turn on autoplay on Podcast?",device_hardware,
103,Anyone know why this happening it’s been doing it for like 24 hours now? @AppleSupport https://t.co/rGnyi5wSOb,general_support,
104,Me tiene loco la actualización de iOS. No funciona bien mi celular. Miro con ojos de deseo el S8! @AppleSupport,app_software_issue,
105,"@115858 Since updating to iOS 11 on my iPhone 7S plus, the battery runs down quicker than before the update",device_hardware,
106,@AppleSupport can't log into Game Center and this msg keeps coming up. What does it mean? https://t.co/ID9Oc20xUy,account_login_access,
107,"@AppleSupport It doesn’t focus, just did update and unfortunately it still does it. Only in portrait mode",device_hardware,
108,@115858 dont loke the obnoxiously large folder titles in the mail app and the new mail app in general is VERY buggy.,app_software_issue,
109,@AppleSupport I have the mute switch on but still my camera shutter sound is on and it’s annoying please help 😂,device_hardware,
110,@AppleSupport Thanks for the reply. The version is 11.0.2. And the phone is always slow for all the apps☹️,app_software_issue,
111,@AppleSupport what happened to the reminders? every time I create a new one it disappears as soon as I close the app,app_software_issue,
112,"@115858 fix your iPhone 7+ headphone jack, snap crackling and popping is for cereal, not my headphones",device_hardware,
113,"@115858 something is wrong with google map,current location show always wrong in apple phones.",app_software_issue,
114,"@534027 @AppleSupport yup! My phone has been freezing and acting up lately. Not getting rid of my 5s, suck it Apple!!",app_software_issue,
115,@AppleSupport @532993 The battery backup is so poor while using iOS 11. I would love to degrade it to iOS 10. #help,device_hardware,
116,@AppleSupport iPhone 8 plus continually restarting itself. Sounds and haptics turn off by themselves. Help?!?,device_hardware,
117,@AppleSupport why do I keep getting this as a text suggestion? The A ? https://t.co/tCmoa7V4kj,app_software_issue,
118,@358777 @AppleSupport I‘ve the same problems with staying connected to my wi-fi network with my iphone 7+.,app_software_issue,
119,Trying to figure out why the iPhone X won't let me restore my backup from my iPhone 7+ right now... cc: @AppleSupport,app_software_issue,
120,@115858 please fix the ios 😭 my phone has been restarting since this morning and I’m so done,app_software_issue,
121,"@AppleSupport Gary,Sr.rep from userID support was supposed to call at 3:30 EST. Please call me! If my ID is not in recovery, where is it???",account_login_access,
122,"Hey, @AppleSupport wondering why  Music is going crazy? Is there anything on the server or what? I’m about to lose my mind!",subscription_service,
123,@AppleSupport Nice that my mother in law bought a brand new ipad pro and the charging cord included was bad had to buy a new one.,device_hardware,
124,Did anyone else update their phone and the “I️” turns into random symbols?? It’s driving me crazy. @AppleSupport please fix this!,app_software_issue,
125,@AppleSupport i recently switched from 3 mobile to EE and redeemed the 6 months free Apple Music but I got charged £9.99 today.,billing_payment,
126,@115858 when you fixing this shit? I️ I️ I️ I️ I️ I️ I️ I️ I️ shit. I️ want to type correctly again. Paid too much money for this phone.,app_software_issue,
127,"@AppleSupport Thanks @115858. I ended up restarting in safe mode, downloading the installer, and retrying the installation. It worked!",app_software_issue,
128,"@115948 @AppleSupport hey guys, we've applied to Apple Music Connect but haven't heard back - what is your turnaround time? Cheers",subscription_service,
129,@AppleSupport Can I choose two languages ​​on the keyboard when I buy MacBook from (Apple Store) ? https://t.co/kmo2K86I1n,device_hardware,
130,@115858 my 7+ is running fucking awful. Please stop wrecking old phones. At least with loyal customers. Cause this honestly makes me mad,app_software_issue,
131,@115858 #iphonelatestupdate now videos won’t flip into large scale when you turn phone sideways! Every update breaks something!,app_software_issue,
132,@AppleSupport my phone has been stuck updating to ios 11.0.2 for over four hours now and a hard reset does nothing but start it over again,app_software_issue,
133,"@AppleSupport No, these are all the options in the general spot. Siri settings also do not appear in search. https://t.co/MPmatsc320",app_software_issue,
134,my phone started acting weird closing apps on its own after i updated my software i see u @115858 you tricky ass scammer,app_software_issue,
135,"@applesupport trying to re-add ringtones to my iPhone w. iTunes 12.7. dragging files to device doesn't work. ""Manually manage"" is selected",app_software_issue,
136,@AppleSupport I did the update last night and now emojis are displaying as question marks in boxes? Is this a known issue?,app_software_issue,
137,@AppleSupport Hi! I'm having trouble with installing iOS 11 on my iPhone 6 I have downloaded it but I'm unable to install it.,app_software_issue,
138,"From my photos on my iPhone, if I try to share a photo on Twitter, there is no option to add a photo alt description. @115858",app_software_issue,
139,"Hello @AppleSupport, after installing the latest security update the icons of my apps disappeared… https://t.co/Hg44eHDKOf",app_software_issue,
140,Since I’ve updated my iPhone the brightness of my screen just changes when it feels like it?! #ios11update @115858 @AppleSupport ???,app_software_issue,
141,"I️ am a fan of @115858 products, but this I️ problem really makes me question their previous undying commitment to quality. @AppleSupport",app_software_issue,
142,@167832 @AppleSupport Same issue here. It’s been a pain to connect to my home WiFi after the update... any update on this ?,app_software_issue,
143,@115858 i have a query. Pls confirm if face time is blocked at hardware level in UAE . I am planning to buy 1 from der.,device_hardware,
144,@AppleSupport @115858 What is with the letter A and the question mark in literally every message on everyone’s iPhone MAKE IT STOP,app_software_issue,
145,@AppleSupport I am trying to purchase something on the app store but i kept receiving notifications saying my purchase is declined ?,billing_payment,
146,@AppleSupport How can I prevent my iPhone7 from dying during cold weather runs?!!Was at 92% battery level.After a half hour at 35 degrees!,device_hardware,
147,Why is my phone always getting stuck on dock connector when its not even connected @115858 @AppleSupport https://t.co/wnwjb5tjJF,device_hardware,
148,@186987 @AppleSupport Just searched ios11 on twitter and there’s hundreds of threads about this. Clearly you have a problem,app_software_issue,
149,@AppleSupport My external hard drive. And it still works on my 2011 MacBook Pro it’s only my new MacBook Air that it doesn’t work on,device_hardware,
150,@AppleSupport @115858 I charge my cell up to 99% by 7 am and by 1 pm the battery left is only 25% ..with a moderate use..Extremely pathetic,device_hardware,
151,"@AppleSupport Hi, will Malaysia’s authorised service providers accept iPhone purchases from Hong Kong for any warranty claims?",device_hardware,
152,#ios11bugs @AppleSupport volume buttons intermittently stop working with earphones plugged in when the phone is locked. Its annoying,device_hardware,
153,Hey @115858 why the fuck can’t I just make my phone stay on low power mode all the time. I don’t want it to stop at 80 percent guys,app_software_issue,
154,@AppleSupport hi my daughter has an iPhone 7 under a year old and her headphones aren’t working do you cover these under warranty?,device_hardware,
155,Thank you for killing my battery life @AppleSupport . I should have never upgraded to iOS11 Do you test anything before it’s released?,device_hardware,
156,Got my 2nd #AppleWatch in a week due to previous @118101 cellular plan issues. Problem now resolved but signal abysmal. #useless @115858,subscription_service,
157,"@116333 @116333 @AppleSupport I❤️apple products,I use iPhone,my concern is the battery,it lasts less than 2 hours when fully charged🤦🏾‍♀️",device_hardware,
158,"Dude, honestly @115858 products suck so bad. My fucking SE just went from a 27% battery to a 9% under five minutes, while freezing up.",device_hardware,
159,is my iPhone the only one that shows some weird emoji / symbol every time the letter “I️” is typed? please help 😅 @115858,app_software_issue,
160,@AppleSupport I managed to get around a grey screen of death by removing EVERYTHING except a keyboard from USB. What a pain.,device_hardware,
161,@AppleSupport As well as logging me out of all my internet accounts and iCloud. It also removed all my saved passwords and safari extensions.,account_login_access,
162,"@AppleSupport Hello again, this screen froze over the video playing underneath. This happens sometimes, do you know what it’s about https://t.co/HircLHHwik",app_software_issue,
163,@AppleSupport ios11 update— don’t know how WiFi &amp; Bluetooth just randomly turn on after I’ve turned them off. It should go back on wen I say,app_software_issue,
164,@115858 what is wrong with this software showing this all the time. This continues to keep coming up and I’m not the only one. https://t.co/8kwpVv3F9V,app_software_issue,
165,"@AppleSupport iOS 11.1.2 on iPad Pro. I’m using different apps. I think one was Procreate, another was Final Fantasy Record Keeper (I think), can’t remember the other one. It happens from time to time but today it happened thrice in such a short period of time.",app_software_issue,
166,@115858 Apple I️ think you got a glitch in the 11.1 software. When typing capital I️ question mark keeps popping up. See photo for screenshot https://t.co/ii5ZJJML64,app_software_issue,
167,@18413 @115858 @AppleSupport je comprend rien tout a été supprimé et il s’allume plus super askip c’est le disque dur qui a un défaut de base,device_hardware,
168,@AppleSupport guys am getting the attached error when trying to add card to apple pay. Help would be appreciated! I am in Dubai https://t.co/4cHOjmo8A4,billing_payment,
169,"@AppleSupport There is clear, definite battery drain w/ iOS 11.0.2. 8:00 am @ 100%. Haven’t used iPhone 6s much but now @ 11:19 am it’s 67%.",device_hardware,
170,"What exactly is wrong with @115858. Their software has been uncharacteristically buggy of late. Mac OS High Sierra is the worst, my MacBook now has a mind of its own, what the aim?",app_software_issue,
171,"@115858 store in Westfield Stratford! I send you my laptop for you to fix. I get my laptop back. After 3 days, we are right back to where we started. Laptop is broke again! What is this? How much money are you making to not fix your own equipment properly.",device_hardware,
172,"@AppleSupport Can’t get to the force quit menu, can’t switch apps, can’t get to the login screen. The only recourse is to hold power button down.",app_software_issue,
173,Why is it my Cloud Account has deleted items I had Not Moved into the Trash? Policy Violations by Illegitimate Assumed Power...@115858 @AppleSupport @2912 @136082 @136083 @4831 @120330 @136084 @131187 @119737 https://t.co/8OT2GR4Z46,account_login_access,
174,Frage an die #Apple Fraktion: Kann ein in der Schweiz gekauftes MacBook einfach auf eine DE-Tastatur umgerüstet werden? Preis? @AppleSupport,device_hardware,
175,"yo! the new OS is cool &amp; all, but ever since the update my iphone6s+ keeps randomly freezing, then i have to reset to restart @AppleSupport",app_software_issue,
176,"@AppleSupport I'm considering upgrading to a 64GB iPhone X, but my current iPhone 7 (128GB) is using 92GB (mostly photos). I have Optimized Storage enabled. Will the backup restoration smartly trim photos in order to meet the new size requirements? Or will it naively error out?",app_software_issue,
177,@AppleSupport why can’t I see notifications in my lock screen? Eg a text comes up as ‘text notification’ can’t see who it’s from and it’s starting to seriously annoy me 😟,app_software_issue,
178,@AppleSupport Responded in DM. Expecting quick response &amp; resolution to my queries. It's not even 1 year to iPhone6S &amp; doesn't work with so many problems.,device_hardware,
179,@AppleSupport i transfered from an 5s to a 7+ &amp; tried 2 transfer my apple ID to my new phone &amp; it asks for a verification code for old #,account_login_access,
180,"@AppleSupport All settings are as shown in the document, but some Podcast-episodes won’t sync and need to be downloaded on the device after syncing",app_software_issue,
181,I️ I️ I️ I️ I️ yeah thanks @115858 thanks great update I️ I’d like to say I️ love the update but can’t use the letter eye anymore with I️ ??,app_software_issue,
182,Interesting how I recently updated my phone and now my touch ID rarely works @115858 I'm not buying the fucking iPhone 8 your plan won't work,general_support,
183,"@AppleSupport okay i have a new problem, i updated lastnight to the recent update and now my apps wont update/ it takes 800yrs; what gives?",app_software_issue,
184,@AppleSupport Come on@Apple trying to get on IPhone upgrade programme. Getting the same message for three hours now. Not taking reservations,subscription_service,
185,"@AppleSupport I have a WiFi connection, but to the right of the indicator, top left of screen, there is the “spinning wheel” draining my battery.",app_software_issue,
186,@21690 @AppleSupport @115858 arkadaşımın telefonu 60 gündür ortada yok! Özet görselde. Sen hayırdır? Bu nasıl bir hizmet anlayışı? https://t.co/RbaXRgYtuu,device_hardware,
187,"@AppleSupport Just updated my MacBook to the recent version of High Sierra and this what I'm presented with when I look at launchpad, anyway to fix this? https://t.co/UIvEgNmqFQ",app_software_issue,
188,As soon as I updated my phone my phone began to crash and stopped charging. @115858 you guys are scammers. Nothing was wrong woth my iPhone 6 every time I update yall do this.,device_hardware,
189,"@AppleSupport Tried restarting &amp; updating Instagram, still doesn’t show in notifications settings &amp; I don’t get any notifications ☹️",app_software_issue,
190,@AppleSupport If this is my biggest problem with @115858 I’m in good hands lol. Thanks for quick reply. I’ll update status after update installs.,general_support,
191,@AppleSupport so i pay for songs &amp; download them on my phone via itunes &amp; yet i can't download them onto my computer without rebuying? WHY,billing_payment,
192,"@AppleSupport Yeah it says added, but then when i search my music, it isn’t there. Noticed this is just on my iPhone. Everything’s updated.",app_software_issue,
193,"Hey @115858 worst iOS ever. And with each update it gets worse. Duplicate texts. Screen goes semi dark and freezes, notifications don’t work.",app_software_issue,
194,"Yo @118721 @116333 @115858 I’m not sure who’s responsible for this, but I just signed up to your 3month FREE iTunes music trial. Please explain my $1 deduction. https://t.co/6Ad2sRajqD",billing_payment,
195,"@AppleSupport my iphone 7 is freezing when I open facetime, won’t let me swipe up to close apps, and wont let me facetime anyone thru a contact",app_software_issue,
196,"@AppleSupport Everything on my screen freezes for about half a second when I get a temporary banner notification, including the keyboard (when I’m typing). I currently have iOS 11.1.2, so I believe that’s up to date.",app_software_issue,
197,@118845 is this suppose to happen when my wireless headphones sit in the ice rink locker room and get a little cold? #help https://t.co/THHggKBSbU,device_hardware,
198,Why won’t the newest Mac update install into my Mac? I’m able to download it into my computer but after that it just won’t install. 🙄 @115858,app_software_issue,
199,"@AppleSupport Just with Safari’s quick search bar at the top, usually loads up google when you put in something you want to search for. Not doing it now",app_software_issue,
200,And a forced security update just nuked my personal laptop. Thanks @AppleSupport. Next time... maybe ask if I want to update so I can at least back everything up? Actually no... there won't be a next time.,device_hardware,
